,0
0,Andhra Pradesh
1,Arunachal Pradesh
2,Assam
3,Bihar
4,Chattisgarh
5,Chandigarh
6,Goa
7,Gujrat
8,Haryana
9,Himachal Pradesh
10,Jharkhand
11,Jammu & Kashmir
12,Karnataka
13,Kerala
14,Madhya Pradesh
15,Manipur
16,Meghalaya
17,Mizoram
18,Nagaland
19,Odisha
20,Punjab
21,Rajasthan
22,Sikkim
23,Tamil Nadu
24,Tripura
25,Uttar Pradesh
26,Uttarakhand
27,West Bengal
28,Andaman & Nicobar Islands
29,Lakshwadeep
30,Dadra & Nagar Haweli
31,Daman & Diu
32,Delhi
33,Puducherry
